index,Plateform,A-B,Rate,Quantity,date,close,open
0,bittrex,BTC-LTC,0.00972535,0.01916278,1-May-12,68.13,34.12
1,bittrex,BTC-LTC,0.00970945,0.74510735,30-Apr-12,63.98,45.56
2,bittrex,BTC-LTC,0.00970121,0.3,27-Apr-12,67.00,67.89
3,bittrex,BTC-LTC,0.0097,57.3002264,24-Apr-12,130.28,99.23
4,bittrex,BTC-LTC,0.00969801,0.25,18-Apr-12,443.34,160.45
5,bittrex,BTC-LTC,0.009698,36.29340947,13-Apr-12,605.23,223.45
6,bittrex,BTC-LTC,0.009693,26.8128,12-Apr-12,622.77,201.56
7,bittrex,BTC-LTC,0.00968866,0.18115508,12-Apr-12,622.77,201.56
8,bittrex,BTC-LTC,0.00968831,0.075,17-Apr-12,543.70,180.34
9,bittrex,BTC-LTC,0.00968572,1.44126824,18-Apr-12,443.34,160.45
10,bittrex,BTC-LTC,0.00968571,0.34475944,19-Apr-12,345.44,134.56
11,bittrex,BTC-LTC,0.00968014,0.39597774,20-Apr-12,234.98,122.34
